,Unnamed: 0,dt,weekday,year,id_driver,id_carrier_number,dim_carrier_type,dim_carrier_company_name,home_base_city,home_base_state,carrier_trucks,num_trucks,interested_in_drayage,port_qualified,signup_source,ts_signup,ts_first_approved,days_signup_to_approval,driver_with_twic,dim_preferred_lanes,first_load_date,most_recent_load_date,load_day,marketplace_loads_otr,marketplace_loads_atlas,marketplace_loads,brokerage_loads_otr,brokerage_loads_atlas,brokerage_loads,total_loads,date,period,test
83414,7837,2017-04-25,2,2017,5715,C0090516,Fleet,g&a delivery llc,Ontario,CA,"[""dryvan""]",7.0,not specified,no,Other,2017-03-20 19:52:33+00:00,,,no,,2017-03-24,2019-01-20,2017-04-25,26,0,26,22,0,22,48,2017-04-25,1,20190120
83415,39198,2019-08-27,2,2019,19016,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2019-03-18,2019-12-24,2019-08-27,22,0,22,26,0,26,48,2019-08-27,1,20191224
83416,26217,2018-12-17,1,2018,17001,C0093508,Fleet,FREE LINE TRANSPORTATION INC,Diamond Bar,CA,"[""dryvan""]",9.0,not specified,no,Other,2018-11-07 18:01:57+00:00,2019-09-10 18:23:16+00:00,307.0,no,,2018-12-17,2018-12-18,2018-12-17,0,0,0,2,0,2,2,2018-12-17,1,20181218
83417,55597,2020-05-12,2,2020,33784,C0093339,Fleet,"1 K Transportation, LLC",Carson,CA,"[""dryvan"", ""boxtruck""]",10.0,not specified,no,Other,2018-10-17 18:45:04+00:00,2019-08-21 16:43:33+00:00,307.0,no,,2020-03-27,2020-08-18,2020-05-12,26,9,35,2,0,2,37,2020-05-12,1,20200818
83418,60370,2020-07-20,1,2020,31874,C0096832,Fleet,Veracity Express ,Newport Beach,CA,"[""dryvan""]",6.0,not specified,no,Mobile,2019-10-23 17:04:39+00:00,2019-10-23 18:35:31+00:00,0.0,no,,2020-02-26,2020-07-20,2020-07-20,1,0,1,1,0,1,2,2020-07-20,1,20200720
83419,71814,2020-11-25,3,2020,26358,U0113837,Owner Operator,Ramires Trucking,South Gate,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2019-07-28 04:01:49+00:00,2019-07-29 20:12:21+00:00,1.0,yes,,2019-11-22,2021-02-17,2020-11-25,0,34,34,0,159,159,193,2020-11-25,1,20210217
83420,25857,2018-12-12,3,2018,16851,C0093756,Fleet,LEGAL FREIGHTLINES LLC,Union City,CA,"[""dryvan""]",1.0,yes,no,Other,2018-12-07 21:17:38+00:00,2018-12-07 21:44:55+00:00,0.0,no,,2018-12-12,2018-12-12,2018-12-12,0,0,0,1,0,1,1,2018-12-12,1,20181212
83421,16075,2018-04-17,2,2018,1417,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-08-19,2019-08-21,2018-04-17,0,0,0,110,0,110,110,2018-04-17,1,20190821
83422,66422,2020-10-02,5,2020,5608,U0095025,Owner Operator,Chuy's Trucking Service,Los Angeles,CA,"[""boxtruck""]",1.0,not specified,no,Other,2017-03-14 17:54:01+00:00,2019-02-26 21:49:56+00:00,714.0,no,,2017-03-28,2021-02-11,2020-10-02,35,0,35,2230,0,2230,2265,2020-10-02,2,20210211
83423,9909,2017-08-03,4,2017,7310,C0090004,Fleet,IDC OTR,City of industry,CA,"[""dryvan"", ""reefer""]",17.0,not specified,no,Other,2016-01-07 18:49:14+00:00,,,no,,2017-04-30,2018-06-22,2017-08-03,0,0,0,25,0,25,25,2017-08-03,1,20180622
83424,4388,2016-11-15,2,2016,619,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-05-19,2018-02-06,2016-11-15,0,0,0,44,0,44,44,2016-11-15,1,20180206
83425,69629,2020-11-04,3,2020,25874,C0095171,Fleet,FTS EXPRESS INC,Los Angeles,CA,"[""dryvan"", ""poweronly""]",17.0,yes,no,Other,2019-05-02 22:28:07+00:00,2019-05-02 22:32:22+00:00,0.0,no,,2019-07-24,2020-11-09,2020-11-04,4,0,4,83,0,83,87,2020-11-04,1,20201109
83426,33327,2019-05-18,6,2019,41,U0000058,Owner Operator,SHALISA & VP TRUCKING LLC,Hawthorne,CA,"[""poweronly""]",1.0,not specified,no,Other,2015-10-22 19:30:54+00:00,2018-12-06 23:37:01+00:00,1141.0,no,,2015-10-21,2019-11-08,2019-05-18,46,6,52,425,0,425,477,2019-05-18,2,20191108
83427,70812,2020-11-15,7,2020,36640,C0098403,Fleet,SDLM,Long Beach,CA,"[""poweronly""]",2.0,yes,yes,Other,2020-10-29 22:40:25+00:00,2020-10-29 22:40:57+00:00,0.0,yes,,2020-10-30,2021-02-17,2020-11-15,0,222,222,0,10,10,232,2020-11-15,2,20210217
83428,43153,2019-10-18,5,2019,18838,C0093009,Fleet,cbt trucking,Rowland Heights,CA,"[""dryvan""]",17.0,yes,no,Other,2018-09-10 20:53:37+00:00,2019-06-05 17:46:33+00:00,267.0,no,,2019-01-30,2020-09-16,2019-10-18,30,0,30,43,0,43,73,2019-10-18,2,20200916
83429,13010,2017-11-09,4,2017,4451,U0094250,Owner Operator,Exclusive Transport inc,Downey,CA,"[""dryvan""]",1.0,not specified,no,Other,2017-01-04 19:58:09+00:00,,,no,,2017-01-24,2018-01-15,2017-11-09,2,0,2,399,0,399,401,2017-11-09,1,20180115
83430,7358,2017-04-04,2,2017,4532,C0090411,Fleet,Saia LTL Freight,Los Angeles,CA,"[""dryvan""]",23.0,not specified,no,Other,2017-01-10 23:16:08+00:00,,,no,,2016-12-29,2017-11-03,2017-04-04,0,0,0,259,0,259,259,2017-04-04,1,20171103
83431,23647,2018-11-09,5,2018,14761,C0093172,Fleet,QQ TRUCKING INC,Fremont,CA,"[""dryvan""]",5.0,yes,no,Other,2018-09-28 22:01:29+00:00,,,no,,2018-10-16,2018-12-27,2018-11-09,0,0,0,26,0,26,26,2018-11-09,2,20181227
83432,45556,2019-11-15,5,2019,13861,U0102168,Owner Operator,WT  Transportation Inc,El Monte,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-08-29 03:12:06+00:00,2019-01-22 18:52:15+00:00,146.0,no,,2018-08-31,2020-08-11,2019-11-15,16,0,16,5,0,5,21,2019-11-15,2,20200811
83433,49989,2019-12-31,2,2019,12705,U0101135,Owner Operator,OSCAR ALGARA,Temple City,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-07-10 18:43:03+00:00,2019-08-02 19:48:21+00:00,388.0,no,California (Southern)->California (Central)|California (Southern)->California (Southern)|California (Southern)->California (Northern)|California (Southern)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern),2018-08-17,2020-05-23,2019-12-31,4,0,4,213,0,213,217,2019-12-31,1,20200523
83434,44358,2019-11-01,5,2019,12896,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2018-07-27,2020-01-27,2019-11-01,23,0,23,165,0,165,188,2019-11-01,2,20200127
83435,70733,2020-11-14,6,2020,36021,C0097727,Fleet,New opportunities inc ,Los Angeles,CA,"[""poweronly"", ""boxtruck""]",15.0,yes,yes,Mobile,2020-04-18 01:01:13+00:00,2020-05-06 22:09:23+00:00,18.0,no,,2020-09-14,2021-02-05,2020-11-14,3,166,169,0,1,1,170,2020-11-14,2,20210205
83436,51133,2020-01-20,1,2020,19665,C0094517,Fleet,DJ EXPRESS INC,Los Angeles,CA,"[""poweronly""]",12.0,yes,no,Other,2019-02-19 23:19:02+00:00,2019-02-20 19:19:53+00:00,0.0,no,,2019-02-28,2020-02-24,2020-01-20,52,184,236,10,3,13,249,2020-01-20,1,20200224
83437,54429,2020-04-15,3,2020,33615,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,no,,2020-03-09,2021-01-21,2020-04-15,3,0,3,24,0,24,42,2020-04-15,1,20210121
83438,5290,2017-01-16,1,2017,1404,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-08-22,2019-07-25,2017-01-16,0,0,0,45,0,45,45,2017-01-16,1,20190725
83439,38288,2019-08-15,4,2019,10694,U0099535,Owner Operator,Palencia trucking ,Chino,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-03-27 21:06:08+00:00,2019-01-16 20:44:49+00:00,294.0,yes,,2018-04-23,2020-11-28,2019-08-15,53,0,53,21,0,21,74,2019-08-15,1,20201128
83440,28536,2019-01-29,2,2019,17523,C0092268,Fleet,"Innovative Transportation, LLC",Lakewood,CA,"[""poweronly"", ""dryvan""]",11.0,not specified,no,Other,2018-05-26 05:44:57+00:00,2019-01-11 18:37:36+00:00,230.0,no,,2018-12-26,2019-01-29,2019-01-29,22,0,22,5,0,5,27,2019-01-29,1,20190129
83441,46371,2019-11-23,6,2019,21189,C0094912,Fleet,BETTER LOGISTICS CHOICE CORPORATION,Ontario,CA,"[""poweronly""]",5.0,not specified,no,Other,2019-04-03 18:41:35+00:00,2019-04-03 18:42:55+00:00,0.0,no,,2019-04-07,2020-01-01,2019-11-23,3,0,3,109,0,109,112,2019-11-23,2,20200101
83442,621,2016-03-08,2,2016,500,C0090060,Fleet,Mega Fleet,Pasadena,CA,"[""dryvan""]",28.0,not specified,no,Other,2016-02-23 22:28:52+00:00,2019-06-17 21:56:56+00:00,1209.0,no,,2016-03-07,2016-03-31,2016-03-08,0,0,0,4,0,4,4,2016-03-08,1,20160331
83443,78175,2021-01-15,5,2021,30726,U0118071,Owner Operator,Barrios transportaion inc ,Gardena,CA,"[""dryvan""]",1.0,not specified,no,Mobile,2019-11-14 03:32:40+00:00,2019-11-15 00:06:10+00:00,0.0,no,,2019-11-18,2021-02-17,2021-01-15,44,97,141,29,1,30,171,2021-01-15,2,20210217
83444,12506,2017-10-20,5,2017,7879,C0090913,Fleet,the custom companies inc,Northlake,IL,"[""dryvan""]",2.0,yes,no,Other,2017-09-12 16:46:55+00:00,,,no,,2016-06-02,2021-02-14,2017-10-20,0,0,0,346,0,346,346,2017-10-20,2,20210214
83445,39134,2019-08-26,1,2019,16886,U0104770,Owner Operator,lala trucking,Los Angeles,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-12-09 05:35:54+00:00,2018-12-10 17:27:47+00:00,1.0,no,,2018-12-12,2021-02-06,2019-08-26,156,245,401,127,8,135,536,2019-08-26,1,20210206
83446,24894,2018-11-29,4,2018,14835,C0093185,Fleet,JML TRANSPORTATION,Compton,CA,"[""dryvan""]",5.0,not specified,no,Other,2018-10-01 22:28:01+00:00,2020-07-06 22:03:12+00:00,643.0,no,,2018-10-05,2019-08-05,2018-11-29,72,0,72,2,0,2,74,2018-11-29,1,20190805
83447,22071,2018-10-13,6,2018,15061,C0093009,Fleet,cbt trucking,Rowland Heights,CA,"[""dryvan""]",17.0,yes,no,Other,2018-09-10 20:53:37+00:00,2019-06-05 17:46:33+00:00,267.0,no,,2018-10-13,2021-01-31,2018-10-13,5,0,5,12,0,12,17,2018-10-13,2,20210131
83448,33179,2019-05-15,3,2019,12196,C0092339,Fleet,Bolt Transport Inc,Bell,CA,"[""boxtruck""]",6.0,not specified,no,Other,2018-06-07 21:31:10+00:00,2019-06-11 17:15:00+00:00,368.0,no,California (Central)->California (Central),2018-09-17,2019-05-23,2019-05-15,2,0,2,11,0,11,13,2019-05-15,1,20190523
83449,56606,2020-05-30,6,2020,22194,U0109844,Owner Operator,LA Trucker Transport LLC,Compton,CA,"[""poweronly""]",1.0,not specified,yes,Other,2019-04-29 19:03:13+00:00,2019-04-30 23:11:16+00:00,1.0,yes,,2019-05-01,2021-02-17,2020-05-30,257,826,1083,148,34,182,1265,2020-05-30,2,20210217
83450,13195,2017-11-21,2,2017,7461,C0090796,Fleet,JC Transport,Compton,CA,"[""dryvan""]",15.0,yes,no,Other,2017-08-10 19:55:27+00:00,,,no,,2017-08-10,2017-12-01,2017-11-21,0,0,0,59,0,59,59,2017-11-21,1,20171201
83451,65202,2020-09-19,6,2020,35893,C0095478,Fleet,757 TRANSPORT INC,Lynwood,CA,"[""poweronly""]",10.0,yes,yes,Other,2019-05-28 22:33:23+00:00,2019-05-28 22:34:41+00:00,0.0,yes,,2020-09-11,2020-09-25,2020-09-19,0,0,0,0,47,47,47,2020-09-19,2,20200925
83452,31499,2019-04-03,3,2019,18868,U0106558,Owner Operator,EBF trucking inc,Carson,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-01-29 19:56:42+00:00,2019-01-29 23:00:32+00:00,0.0,no,,2019-02-08,2021-02-17,2019-04-03,476,0,476,33,0,33,509,2019-04-03,1,20210217
83453,77430,2021-01-12,2,2021,35537,C0098029,Fleet,WILO'S EXPRESS INC,San Diego,CA,"[""dryvan""]",1.0,yes,no,Other,2020-07-28 15:19:44+00:00,2020-07-30 21:22:11+00:00,2.0,no,,2020-08-04,2021-02-12,2021-01-12,0,0,0,471,0,471,471,2021-01-12,1,20210212
83454,77482,2021-01-12,2,2021,34308,C0095540,Fleet,WEST COAST SHIPPERS INC,Los Angeles,CA,"[""poweronly""]",4.0,not specified,yes,Other,2019-06-04 01:57:05+00:00,2019-06-11 19:46:29+00:00,7.0,yes,,2020-05-19,2021-01-21,2021-01-12,0,256,256,0,93,93,349,2021-01-12,1,20210121
83455,35421,2019-07-05,5,2019,22962,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,no,,2019-06-25,2019-07-11,2019-07-05,0,0,0,10,0,10,10,2019-07-05,2,20190711
83456,60877,2020-07-27,1,2020,26169,C0090880,Fleet,KLF transport inc,Stockton,CA,"[""dryvan""]",18.0,not specified,no,Other,2017-08-31 06:24:09+00:00,2019-05-24 21:56:09+00:00,631.0,no,,2019-07-29,2020-08-29,2020-07-27,36,0,36,13,0,13,49,2020-07-27,1,20200829
83457,22391,2018-10-19,5,2018,13416,U0101774,Owner Operator,O&R Transportation,Los Angeles,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-08-13 14:59:28+00:00,2019-10-03 21:57:58+00:00,416.0,no,,2018-08-15,2020-10-30,2018-10-19,15,0,15,8,0,8,23,2018-10-19,2,20201030
83458,49931,2019-12-30,1,2019,24114,U0111658,Owner Operator,TY 945 INC,Rosemead,CA,"[""dryvan""]",1.0,not specified,no,Mobile,2019-06-05 21:03:09+00:00,2019-09-23 17:21:57+00:00,109.0,no,,2019-09-27,2020-04-17,2019-12-30,13,1,14,41,0,41,55,2019-12-30,1,20200417
83459,60102,2020-07-16,4,2020,26609,C0095984,Fleet,WESTERN CONTAIN TRANSPORTATION LLC,Los Angeles,CA,"[""poweronly""]",4.0,yes,yes,Other,2019-07-24 23:12:10+00:00,2019-07-24 23:13:26+00:00,0.0,yes,,2019-08-03,2021-02-16,2020-07-16,2,895,897,0,93,93,990,2020-07-16,1,20210216
83460,2468,2016-06-28,2,2016,1078,C0090004,Fleet,IDC OTR,City of industry,CA,"[""dryvan"", ""reefer""]",17.0,not specified,no,Other,2016-01-07 18:49:14+00:00,,,no,,2016-06-20,2018-04-06,2016-06-28,8,0,8,52,0,52,60,2016-06-28,1,20180406
83461,13870,2017-12-29,5,2017,7840,C0090794,Fleet,Kuang Trucking Inc.,La Puente,CA,"[""dryvan""]",14.0,yes,no,Other,2017-08-10 18:51:16+00:00,,,no,,2017-09-26,2018-05-16,2017-12-29,7,0,7,8,0,8,15,2017-12-29,2,20180516
83462,54518,2020-04-17,5,2020,594,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-04-05,2020-09-07,2020-04-17,0,0,0,1309,0,1309,1309,2020-04-17,2,20200907
83463,33412,2019-05-21,2,2019,15912,C0091573,Fleet,Global Express Trucking Corp.,San Diego,CA,"[""dryvan"", ""poweronly""]",5.0,not specified,no,Other,2018-02-09 18:42:22+00:00,2021-02-06 02:22:17+00:00,1092.0,no,,2018-11-06,2021-02-12,2019-05-21,2,0,2,180,0,180,182,2019-05-21,1,20210212
83464,32493,2019-04-29,1,2019,21979,C0092379,Fleet,Dong Fang Marketing Inc,Baldwin Park,CA,"[""dryvan""]",16.0,not specified,no,Other,2018-06-11 23:04:58+00:00,2019-10-22 18:35:55+00:00,497.0,no,,2019-04-29,2019-04-29,2019-04-29,1,0,1,0,0,0,1,2019-04-29,1,20190429
